,Motif_ID,Motif_Symbol,AtID,Source
1681,ZFHD_tnt.ATHB24_col_a_m1,ATHB24,AT2G18350,DAPv1
1682,ZFHD_tnt.ATHB24_colamp_a_m1,ATHB24,AT2G18350,DAPv1
1683,ZFHD_tnt.ATHB25_col_a_m1,ATHB25,AT5G65410,DAPv1
1684,ZFHD_tnt.ATHB25_colamp_a_m1,ATHB25,AT5G65410,DAPv1
1685,ZFHD_tnt.ATHB33_col_a_m1,ATHB33,AT1G75240,DAPv1
1686,ZFHD_tnt.ATHB33_colamp_a_m1,ATHB33,AT1G75240,DAPv1
1687,ZFHD_tnt.ATHB34_col_a_m1,ATHB34,AT3G28920,DAPv1
1688,ZFHD_tnt.ATHB34_colamp_a_m1,ATHB34,AT3G28920,DAPv1
1689,ZFHD_tnt.AtHB32_col200_a_m1,AtHB32,AT1G14687,DAPv1
1690,bHLH_tnt.BIM1_col_a_m1,BIM1,AT5G08130,DAPv1
1691,bHLH_tnt.BIM1_colamp_a_m1,BIM1,AT5G08130,DAPv1
1692,bHLH_tnt.BIM2_col_v3b_m1,BIM2,AT1G69010,DAPv1
1693,bHLH_tnt.BIM2_colamp_m1,BIM2,AT1G69010,DAPv1
1694,bHLH_tnt.BIM3_col_a_m1,BIM3,AT5G38860,DAPv1
1695,bHLH_tnt.PIF7_col_a_m1,PIF7,AT5G61270,DAPv1
